Fecha,NFactura,Vendedor,Cliente,Producto,Lote,Cantidad,PrecioUnitario,CostoUnitario,Categoria,StockInicial,StockFinal,Bodega
2023-08-02,F00001,Pedro Ruiz,Servicios Mineros Z,Detergente Alcalino,L230823,17,3922,2505,Limpieza,70,53,Bodega Norte
2023-08-02,F00001,Pedro Ruiz,Servicios Mineros Z,Desengrasante Industrial,L230805,47,4606,3222,Químicos,108,61,Bodega Norte
2023-08-02,F00001,Pedro Ruiz,Servicios Mineros Z,Sellador Epóxico,L230822,10,12240,8874,Químicos,34,24,Bodega Norte
2023-08-02,F00002,Ana Torres,Química Valpo,Solvente Multiuso,L230810,13,7174,4698,Solventes,47,34,Bodega Sur
2023-08-02,F00002,Ana Torres,Química Valpo,Detergente Enzimático,L230812,43,6081,4084,Limpieza,138,95,Bodega Sur
2023-08-02,F00002,Ana Torres,Química Valpo,Detergente Enzimático,L230807,8,6081,4084,Limpieza,25,17,Bodega Sur
2023-08-02,F00002,Ana Torres,Química Valpo,Desinfectante Amonio,L230817,150,5459,3273,Limpieza,354,204,Bodega Sur
2023-08-02,F00003,María López,Química Valpo,Removedor de Ceras,L230817,11,9106,5430,Solventes,40,29,Bodega Centro
2023-08-03,F00004,Pedro Ruiz,Alimentos Andinos,Desinfectante Amonio,L230813,26,5122,2972,Limpieza,81,55,Bodega Sur
2023-08-03,F00005,Pedro Ruiz,Logística Andes,Desengrasante Industrial,L230820,35,4576,2891,Químicos,122,87,Bodega Sur
2023-08-03,F00005,Pedro Ruiz,Logística Andes,Removedor de Ceras,L230807,4,9279,5186,Solventes,11,7,Bodega Sur
2023-08-03,F00005,Pedro Ruiz,Logística Andes,Sellador Epóxico,L230809,1,13679,9451,Químicos,2,1,Bodega Sur
2023-08-04,F00006,Pedro Ruiz,MetalMaq Ltda,Solvente Multiuso,L230816,12,7255,4581,Solventes,18,6,Bodega Centro
2023-08-04,F00006,Pedro Ruiz,MetalMaq Ltda,Detergente Enzimático,L230806,41,6369,3943,Limpieza,81,40,Bodega Centro
2023-08-04,F00006,Pedro Ruiz,MetalMaq Ltda,Removedor de Ceras,L230806,6,8795,4956,Solventes,14,8,Bodega Centro
2023-08-04,F00007,Ana Torres,Servicios Mineros Z,Desinfectante Amonio,L230820,18,5551,2983,Limpieza,61,43,Bodega Sur
2023-08-04,F00007,Ana Torres,Servicios Mineros Z,Sellador Epóxico,L230815,2,12497,8944,Químicos,5,3,Bodega Sur
2023-08-04,F00007,Ana Torres,Servicios Mineros Z,Removedor de Ceras,L230804,10,9091,4928,Solventes,32,22,Bodega Sur
2023-08-04,F00007,Ana Torres,Servicios Mineros Z,Detergente Enzimático,L230809,66,6633,3741,Limpieza,150,84,Bodega Sur
2023-08-04,F00008,Pedro Ruiz,Comercial FríoSur,Solvente Multiuso,L230806,9,7602,4547,Solventes,22,13,Bodega Norte
2023-08-04,F00008,Pedro Ruiz,Comercial FríoSur,Solvente Multiuso,L230805,3,7602,4547,Solventes,5,2,Bodega Norte
2023-08-04,F00008,Pedro Ruiz,Comercial FríoSur,Desinfectante Amonio,L230814,9,5635,3360,Limpieza,28,19,Bodega Norte
2023-08-05,F00009,Ana Torres,Servicios Mineros Z,Solvente Multiuso,L230822,21,7166,4943,Solventes,54,33,Bodega Norte
2023-08-05,F00009,Ana Torres,Servicios Mineros Z,Desengrasante Industrial,L230815,30,4783,3200,Químicos,85,55,Bodega Norte
2023-08-05,F00009,Ana Torres,Servicios Mineros Z,Desengrasante Industrial,L230828,31,4783,3200,Químicos,136,105,Bodega Norte
2023-08-09,F00010,María López,Logística Andes,Removedor de Ceras,L230824,9,8523,5555,Solventes,24,15,Bodega Sur
2023-08-09,F00010,María López,Logística Andes,Solvente Multiuso,L230818,28,7348,5008,Solventes,88,60,Bodega Sur
